State;variable;kg marine fish per person and year
Acre;X9.1.18.Outros.pescados.em.file.fresco;0,001
Amazonas;X9.1.18.Outros.pescados.em.file.fresco;0,019
Roraima;X9.1.18.Outros.pescados.em.file.fresco;0,013
Par‡;X9.1.18.Outros.pescados.em.file.fresco;0,188
Amap‡;X9.1.18.Outros.pescados.em.file.fresco;0,135
Tocantins;X9.1.18.Outros.pescados.em.file.fresco;0,013
Maranh‹o;X9.1.18.Outros.pescados.em.file.fresco;0,11
Piau’;X9.1.18.Outros.pescados.em.file.fresco;0,005
Cear‡;X9.1.18.Outros.pescados.em.file.fresco;0,071
Rio Grande do Norte;X9.1.18.Outros.pescados.em.file.fresco;0,072
Para’ba;X9.1.18.Outros.pescados.em.file.fresco;0,158
Pernambuco;X9.1.18.Outros.pescados.em.file.fresco;0,073
Alagoas;X9.1.18.Outros.pescados.em.file.fresco;0,061
Sergipe;X9.1.18.Outros.pescados.em.file.fresco;0,136
Bahia;X9.1.18.Outros.pescados.em.file.fresco;0,108
Minas Gerais;X9.1.18.Outros.pescados.em.file.fresco;0,032
Esp’rito Santo;X9.1.18.Outros.pescados.em.file.fresco;0,026
Rio de Janeiro;X9.1.18.Outros.pescados.em.file.fresco;0,231
S‹o Paulo;X9.1.18.Outros.pescados.em.file.fresco;0,173
Paran‡;X9.1.18.Outros.pescados.em.file.fresco;0,119
Santa Catarina;X9.1.18.Outros.pescados.em.file.fresco;0,101
Rio Grande do Sul;X9.1.18.Outros.pescados.em.file.fresco;0,118
Mato Grosso do Sul;X9.1.18.Outros.pescados.em.file.fresco;0,021
Mato Grosso;X9.1.18.Outros.pescados.em.file.fresco;0,014
Goi‡s;X9.1.18.Outros.pescados.em.file.fresco;0,019
Distrito Federal;X9.1.18.Outros.pescados.em.file.fresco;0,192
Rond™nia;X9.1.19.Outros.pescados.frescos;0
Acre;X9.1.19.Outros.pescados.frescos;0,025
Amazonas;X9.1.19.Outros.pescados.frescos;0,06
Roraima;X9.1.19.Outros.pescados.frescos;0
Par‡;X9.1.19.Outros.pescados.frescos;1,609
Amap‡;X9.1.19.Outros.pescados.frescos;0,501
Tocantins;X9.1.19.Outros.pescados.frescos;0,063
Maranh‹o;X9.1.19.Outros.pescados.frescos;2,944
Piau’;X9.1.19.Outros.pescados.frescos;0,572
Cear‡;X9.1.19.Outros.pescados.frescos;1,208
Rio Grande do Norte;X9.1.19.Outros.pescados.frescos;0,848
Para’ba;X9.1.19.Outros.pescados.frescos;0,902
Pernambuco;X9.1.19.Outros.pescados.frescos;0,838
Alagoas;X9.1.19.Outros.pescados.frescos;1,304
Sergipe;X9.1.19.Outros.pescados.frescos;1,618
Bahia;X9.1.19.Outros.pescados.frescos;0,445
Minas Gerais;X9.1.19.Outros.pescados.frescos;0,098
Esp’rito Santo;X9.1.19.Outros.pescados.frescos;0,33
Rio de Janeiro;X9.1.19.Outros.pescados.frescos;0,484
S‹o Paulo;X9.1.19.Outros.pescados.frescos;0,294
Paran‡;X9.1.19.Outros.pescados.frescos;0,057
Santa Catarina;X9.1.19.Outros.pescados.frescos;0,164
Rio Grande do Sul;X9.1.19.Outros.pescados.frescos;0,117
Mato Grosso do Sul;X9.1.19.Outros.pescados.frescos;0,021
Mato Grosso;X9.1.19.Outros.pescados.frescos;0,043
Goi‡s;X9.1.19.Outros.pescados.frescos;0,06
Distrito Federal;X9.1.19.Outros.pescados.frescos;0,543
Rond™nia;X9.1.20.Outros.pescados.salgados;0
Acre;X9.1.20.Outros.pescados.salgados;0
Amazonas;X9.1.20.Outros.pescados.salgados;0
Roraima;X9.1.20.Outros.pescados.salgados;0
Par‡;X9.1.20.Outros.pescados.salgados;0,174
Amap‡;X9.1.20.Outros.pescados.salgados;0
Tocantins;X9.1.20.Outros.pescados.salgados;0,007
Maranh‹o;X9.1.20.Outros.pescados.salgados;0,212
Piau’;X9.1.20.Outros.pescados.salgados;0
Cear‡;X9.1.20.Outros.pescados.salgados;0,11
Rio Grande do Norte;X9.1.20.Outros.pescados.salgados;0,063
Para’ba;X9.1.20.Outros.pescados.salgados;0,068
Pernambuco;X9.1.20.Outros.pescados.salgados;0,105
Alagoas;X9.1.20.Outros.pescados.salgados;0,056
Sergipe;X9.1.20.Outros.pescados.salgados;0,035
Bahia;X9.1.20.Outros.pescados.salgados;0,044
Minas Gerais;X9.1.20.Outros.pescados.salgados;0,009
Esp’rito Santo;X9.1.20.Outros.pescados.salgados;0,013
Rio de Janeiro;X9.1.20.Outros.pescados.salgados;0,021
S‹o Paulo;X9.1.20.Outros.pescados.salgados;0,035
Paran‡;X9.1.20.Outros.pescados.salgados;0,011
Santa Catarina;X9.1.20.Outros.pescados.salgados;0,017
Rio Grande do Sul;X9.1.20.Outros.pescados.salgados;0
Mato Grosso do Sul;X9.1.20.Outros.pescados.salgados;0
Mato Grosso;X9.1.20.Outros.pescados.salgados;0
Goi‡s;X9.1.20.Outros.pescados.salgados;0
Distrito Federal;X9.1.20.Outros.pescados.salgados;0,052
